Music_Title,Drum_Kick,Drum_Snare,Drum_HiHat,Drum_Cymbals,Drum_Overheads,Drum_Tom,Drum_Room,Percussion,Bass,Acoustic_Guitar,Electric_Guitar,Piano,Electric_Piano,Brass,String,WoodWind,Other,Lead_Vocal,Backing_Vocal,Unused,Vocal_Quality
Copper,[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['01_Pizz1.wav', '02_Pizz2.wav', '03_Pizz3.wav', '04_Pizz4.wav', '05_Pizz5.wav', '06_ArcoRhythm1.wav', '07_ArcoRhythm2.wav', '08_ArcoRhythm3.wav', '09_ArcoRhythm4.wav', '10_ArcoRhythm5.wav', '11_ArcoRhythm6.wav', '12_SFX1.wav', '13_SFX2.wav', '14_Theme.wav', '15_ThemeDT.wav', '16_ThemeCounter.wav', '17_Lyrical1.wav', '18_Lyrical2.wav', '19_Lyrical3.wav', '20_Lyrical3DT.wav', '21_Lyrical4.wav', '22_Lyrical4Octave.wav', '23_Lyrical5.wav', '24_Lyrical5Octave.wav', '25_Lyrical6.wav', '26_Lyrical6Octave.wav']",[],[],[],[],[],0
Corine Corine,['KICK - U48 - Neve 33102.wav'],[],[],[],"['DRUM OVERHEAD STEREO L - AR-70 - Neve 33102.wav', 'DRUM OVERHEAD STEREO R - AR-70 - Neve 33102.wav']",[],"['ROOM A - Beyer Dynamic 160 - Neve 33102.wav', 'ROOM B - Beyer Dynamic 160 - Neve 33102.wav', 'ROOM C - AR-51 - Chandler Germanium.wav', 'ROOM D - AR-51 - Chandler Germanium.wav', 'ROOM STEREO L - C24 w TFUNK CK12 - Neve 33102.wav', 'ROOM STEREO R - C24 w TFUNK CK12 - Neve 33102.wav']",[],"['UPRIGHT BASS - DI - Neve 33102.wav', 'UPRIGHT BASS - ELA M 260 - Neve 33102.wav']",[],['E GUITAR - AR-51 - Presonus M80.wav'],[],"['PIANO A - ELA M 260 - Neve 33102.wav', 'PIANO B - ELA M 260 - Neve 33102.wav']","['SAX A - AK-47mkII - Neve 33102.wav', 'SAX B - AK-47mkII - Neve 33102.wav', 'TROMBONE A - AR-51 - Neve 33102.wav', 'TROMBONE B - AR-51 - Neve 33102.wav', 'TRUMPET A - AR-51 - Neve 33102.wav', 'TRUMPET B - AR-51 - Neve 33102.wav']",[],[],[],['LEAD VOX - U48 - Neve 33102.wav'],[],[],1
Crazy For Me,['01_Kick.wav'],"['02_SnareUp.wav', '03_SnareDown.wav']",['04_HiHat.wav'],[],['05_Overheads.wav'],"['07_Tom1.wav', '08_Tom2.wav', '09_Tom3.wav']",['06_DrumsRoom.wav'],[],['10_Bass.wav'],['13_AcousticGtr.wav'],"['11_ElecGtr1.wav', '12_ElecGtr2.wav']",[],[],"['15_Trumpet1.wav', '16_Trumpet2.wav', '17_Trumpet3.wav', '18_MIDITrombone.wav']",[],[],['14_Hammond.wav'],['19_LeadVox.wav'],[],[],1
Crazy Girl,['01_Kick.wav'],['02_Snare.wav'],['03_HiHat.wav'],"['04_Ride.wav', '06_Cymbals.wav']",[],[],[],['05_Tambourine.wav'],['07_BassDI.wav'],"['08_AcousticGtr1.wav', '09_AcousticGtr2.wav']","['10_ElecGtr1.wav', '11_ElecGtr2DI.wav', '12_ElecGtr1DT1.wav', '13_ElecGtr2DIDT1.wav', '14_ElecGtr1DT2.wav', '15_ElecGtr2DIDT2.wav', '16_ElecGtr1DT3.wav', '17_ElecGtr2DIDT3.wav', '18_ElecGtr1DT4.wav', '19_ElecGtr2DIDT4.wav', '20_ElecGtr3.wav']",['21_Piano.wav'],"['22_ElecPiano1.wav', '23_ElecPiano2.wav']",[],[],[],"['24_Hammond.wav', '25_Synth1.wav', '26_Synth2.wav']",['27_LeadVox.wav'],"['28_BackingVox1.wav', '29_BackingVox2.wav', '30_BackingVox3.wav', '31_BackingVox4.wav', '32_BackingVox5.wav', '33_BackingVox6.wav', '34_BackingVox7.wav', '35_BackingVox7DT.wav', '36_BackingVox8.wav', '37_BackingVox8DT.wav']",[],1
Crazy,['01_Kick.wav'],['04_Snare.wav'],['05_HiHat.wav'],['06_Ride.wav'],[],[],[],"['02_Clap1.wav', '03_Clap2.wav', '07_Percussion.wav']",['08_Bass.wav'],[],[],[],[],[],[],[],"['09_Synth.wav', '10_Sample1.wav', '11_Sample2.wav', '12_Sample3.wav']","['13_LeadVox.wav', '14_LeadVoxDT1.wav', '15_LeadVoxDT2.wav']","['16_BackingVox01.wav', '17_BackingVox02.wav', '18_BackingVox02DT.wav', '19_BackingVox03.wav', '20_BackingVox03DT.wav', '21_BackingVox04.wav', '22_BackingVox04DT.wav', '23_BackingVox05.wav', '24_BackingVox06.wav', '25_BackingVox06DT1.wav', '26_BackingVox06DT2.wav', '27_BackingVox07.wav', '28_BackingVox07DT1.wav', '29_BackingVox07DT2.wav', '30_BackingVox08.wav', '31_BackingVox09.wav', '32_BackingVox09DT.wav']",[],1
Cruising The Ice,[],['02_Snare.wav'],[],[],[],[],[],['01_Loop.wav'],['05_BassMIDI.wav'],[],"['07_ElecGtr1.wav', '08_ElecGtr2.wav', '09_ElecGtr3.wav', '10_ElecGtr4.wav', '11_ElecGtr5.wav', '12_ElecGtr6.wav', '13_ElecGtr7.wav', '14_ElecGtr8.wav']",['06_Piano.wav'],[],[],"['16_Strings.wav', '17_ViolinMIDI.wav', '18_ViolaMIDI.wav', '19_CelloMIDI.wav']",[],"['03_SFX1.wav', '04_SFX2.wav', '15_Synth.wav']",[],[],[],0
Cur An Long Ag Seol,[],[],[],[],"['01_DrumMic1.wav', '02_DrumMic2.wav']",[],[],['03_Brushes.wav'],"['04_BassMic1.wav', '05_BassMic2.wav']","['06_AcousticGtr.wav', '07_MandolinMic1.wav', '08_MandolinMic2.wav']",[],[],[],[],"['09_Fiddle1.wav', '10_Fiddle2.wav']",[],['11_Accordion.wav'],['12_LeadVox.wav'],[],[],1
Cyber Mower,"['01_Kick1.wav', '02_Kick2.wav']","['03_Snare1.wav', '04_Snare2.wav']",['07_HiHat.wav'],"['15_RevCrash.wav', '16_Crash1.wav', '17_Crash2.wav']",[],"['05_Tom1.wav', '06_Tom2.wav']",[],"['08_Shaker.wav', '10_Percussion1.wav', '11_Percussion2.wav', '12_Percussion3.wav', '13_Percussion4.wav', '14_Percussion5.wav']",['18_Bass.wav'],[],[],[],[],[],[],[],"['09_SubDrop.wav', '19_Synth01.wav', '20_Synth02.wav', '21_Synth03.wav', '22_Synth04.wav', '23_Synth05.wav', '24_Synth06.wav', '25_Synth07.wav', '26_Synth08.wav', '27_Synth09.wav', '28_Synth10.wav', '29_Synth11.wav', '30_Synth12.wav', '31_Synth13.wav', '32_Synth14.wav', '33_SFX1.wav', '34_SFX2.wav', '35_SFX3.wav', '36_SFX4.wav', '37_SFX5.wav']",[],[],[],0
Dad's Glad,['01_Kick.wav'],['02_Snare.wav'],[],[],['03_Overheads.wav'],"['04_Tom1.wav', '05_Tom2.wav', '06_Tom3.wav', '07_Tom4.wav']",[],[],['08_Bass.wav'],"['09_AcGtr1Reverse.wav', '10_AcGtr2.wav']",[],[],[],[],[],[],[],['11_LeadVox.wav'],"['12_BackingVox1.wav', '13_BackingVox2.wav']",[],0
Daisy Daisy,['01_Kick.wav'],['02_Snare.wav'],[],[],['03_Overheads.wav'],"['04_Tom1.wav', '05_Tom2.wav']",[],[],"['06_BassDI.wav', '07_BassAmp.wav']",[],"['08_ElecGtr1.wav', '09_ElecGtr2.wav', '10_ElecGtr3.wav']",[],[],[],[],[],[],"['11_LeadVox1.wav', '12_LeadVox2.wav']",[],[],0
Dark Horses,['01_Kick.wav'],['02_Snare.wav'],[],[],['03_Overheads.wav'],[],['04_DrumsRoom.wav'],[],['05_Bass.wav'],['06_AcGtr.wav'],"['07_ElecGtr1Mic1.wav', '08_ElecGtr1Mic2.wav', '09_ElecGtr2Mic1.wav', '10_ElecGtr2Mic2.wav', '11_ElecGtr3Mic1.wav', '12_ElecGtr3Mic2.wav', '13_ElecGtr4Mic1.wav', '14_ElecGtr4Mic2.wav']",[],[],[],[],[],[],"['15_LeadVox.wav', '16_LeadVoxDT.wav']","['17_BackingVox01.wav', '18_BackingVox02.wav']",[],1
Das Funkeren,"['01_Kick808.wav', '04_Drumkit_Kick.wav']","['02_Snare808.wav', '05_Drumkit_Snare.wav']",['03_HiHat808.wav'],[],"['06_Drumkit_Overheads.wav', '10_SidestickOD_Overheads.wav']","['07_Tom1OD.wav', '08_Tom2OD.wav', '09_SidestickOD_Tom2.wav']",[],"['11_Claps1.wav', '12_Claps2.wav', '13_Claps3.wav']","['14_Bass1.wav', '15_Bass2.wav', '16_BassFX1.wav', '17_BassFX2.wav']","['26_AcousticGtr1.wav', '27_AcousticGtr2.wav']","['18_ElecGtr1.wav', '19_ElecGtr2.wav', '20_ElecGtr3.wav', '21_ElecGtr4.wav', '22_ElecGtr5.wav', '23_ElecGtr6.wav', '24_ElecGtr7.wav', '25_ElecGtr8.wav']",[],[],[],[],[],[],"['28_LeadVox1.wav', '29_LeadVox2.wav']",[],[],1
Dead Enemies,"['01_KickMic1.wav', '02_KickMic2.wav', '03_KickSample.wav']","['04_SnareUpMic1.wav', '05_SnareUpMic2.wav', '06_SnareDown.wav', '07_SnareSample.wav']",['08_HiHat.wav'],[],['13_Overheads.wav'],"['09_Tom1.wav', '10_Tom2.wav', '11_Tom3.wav', '12_Tom4.wav']",['14_DrumsRoom.wav'],[],['15_Bass.wav'],['16_AcousticGtr.wav'],"['17_ElecGtr01.wav', '18_ElecGtr02.wav', '19_ElecGtr02DT.wav', '20_ElecGtr03DI.wav', '21_ElecGtr04DI.wav', '22_ElecGtr05.wav', '23_ElecGtr06.wav', '24_ElecGtr07.wav', '25_ElecGtr08.wav', '26_ElecGtr08DT.wav', '27_ElecGtr09DI.wav', '28_ElecGtr10DI.wav', '29_ElecGtr11DI.wav', '30_ElecGtr12DI.wav', '31_ElecGtr13DI.wav', '32_ElecGtr14DI.wav']","['37_Piano01.wav', '38_Piano02.wav']",[],[],[],[],"['33_Synth01.wav', '34_Synth02.wav', '35_Synth03.wav', '36_Storm.wav', '39_Lightning.wav', '40_SFX.wav']","['41_LeadVox1.wav', '42_LeadVox2.wav', '43_LeadVox3.wav', '44_LeadVox4.wav', '45_LeadVox5.wav']","['46_BackingVox01.wav', '47_BackingVox02.wav', '48_BackingVox03.wav', '49_BackingVox04.wav', '50_BackingVox05.wav', '51_BackingVox06.wav', '52_BackingVox07.wav', '53_BackingVox08.wav', '54_BackingVox09.wav', '55_BackingVox10.wav']",[],0
Dead Roses,"['DRUM KICK I-M82-SSL DUALITY.wav', 'DRUM KICK O-U47-SSL DUALITY.wav']","['DRUM SNARE B-M81-SSL DUALITY.wav', 'DRUM SNARE T-M80-SSL DUALITY.wav']",['DRUM HIHAT-260-SSL DUALITY.wav'],[],"['DRUM OH-AK47-SSL DUALITY.L.wav', 'DRUM OH-AK47-SSL DUALITY.R.wav', 'DRUM OH-C12-SSL DUALITY.L.wav', 'DRUM OH-C12-SSL DUALITY.R.wav']","['DRUM FLOOR TOM-M81-SSL DUALITY.wav', 'DRUM RACK TOM-M81-SSL DUALITY.wav']",[],[],"['BASS-AMP-CU29-LACHAPELLE.wav', 'BASS-DI-1081.wav']","['AC GUITAR-260-1081.wav', 'AC GUITAR-AR51-1081.wav', 'AC GUITAR-CU29-1081.wav', 'AC GUITAR-DI-SSL DUALITY.wav', 'SCRACTCH AC GUITAR-DI-SSL DUALITY.wav']","['E GUITAR-AR51-CHANDLER TG CHANNEL.wav', 'E GUITAR-CU29-CHANDLER TG CHANNEL.wav', 'E GUITAR-M81-CHANDLER TG CHANNEL.wav']","['PIANO CLOSE-260-1084.L.wav', 'PIANO CLOSE-260-1084.R.wav', 'PIANO ROOM-AR70-1081.L.wav', 'PIANO ROOM-AR70-1081.R.wav']",[],[],[],[],[],"['SCRATCH VOX LD-M80-SSL DUALITY.wav', 'VOX LD-251E-1084.wav', 'VOX LD-AR51-1084.wav', 'VOX LD-CU29-1084.wav', 'VOX LD-U48-1081.wav']","['SCRATCH VOX BG-M80-SSL DUALITY.wav', 'VOX BG-C12-1084.wav', 'VOX BG-U47-1081.wav']",[],0
Death Metal Sucks,['01_Kick.wav'],['02_Snare.wav'],['03_HiHat.wav'],['11_ReverseCymbal.wav'],['09_Overheads.wav'],"['04_Tom1.wav', '05_Tom2.wav', '06_Tom3.wav', '07_Tom4.wav', '08_Tom5.wav']",['10_DrumsRoom.wav'],[],['12_Bass.wav'],"['22_AcousticGtr.wav', '23_AcousticGtr.wav']","['13_ElecGtr01.wav', '14_ElecGtr02.wav', '15_ElecGtr03.wav', '16_ElecGtr04.wav', '17_ElecGtr05.wav', '18_ElecGtr06.wav', '19_ElecGtr07.wav', '20_ElecGtr08.wav']",['21_Piano.wav'],[],[],[],[],[],[],[],[],0
Deny Control,"['02_Kick1.wav', '03_Kick2.wav', '04_KickSample.wav']","['05_Snare.wav', '06_SnareSample.wav']",['11_HiHat.wav'],"['12_Ride.wav', '13_Cymbals.wav']",['14_Overheads.wav'],"['07_Tom1.wav', '08_Tom2.wav', '09_Tom3.wav', '10_Tom4.wav']","['15_DrumsRoomStereo1.wav', '16_DrumsRoomStereo2.wav', '17_DrumsRoomMono.wav']",[],"['18_Bass1.wav', '19_Bass2.wav']",[],"['20_ElecGtr1.wav', '21_ElecGtr2.wav', '22_ElecGtr3.wav', '23_ElecGtr4.wav', '24_ElecGtr5.wav']",[],[],[],[],[],['01_Intro.wav'],"['25_LeadVox1.wav', '26_LeadVox1DT.wav', '27_LeadVox2.wav']","['28_BackingVox1.wav', '29_BackingVox2.wav', '30_BackingVox3.wav', '31_BackingVox3FX.wav', '32_BackingVox4.wav', '33_BackingVox5.wav', '34_Whisper.wav', '35_Speech.wav']",[],1
Devil's Words,['01_KickTrigger.wav'],['02_Snare.wav'],[],['09_ReverseCymbal.wav'],"['03_Overheads.wav', '08_DrumsReverb.wav']","['04_Tom1.wav', '05_Tom2.wav']",[],"['06_Tambourine.wav', '07_Loop.wav']",['10_Bass.wav'],[],"['11_ElecGtr1.wav', '12_ElecGtr2.wav', '13_ElecGtr3.wav', '14_ElecGtr4.wav', '15_ElecGtr5.wav', '16_ElecGtr6.wav', '17_ElecGtr6.wav']",[],[],[],[],[],[],"['18_LeadVox.wav', '19_LeadVoxDT.wav']","['20_BackingVox1.wav', '21_BackingVox2.wav', '22_BackingVox3.wav', '23_BackingVox4.wav', '24_BackingVox5.wav', '25_BackingVox6.wav', '26_BackingVox7.wav', '27_BackingVox8.wav']",[],1
Die Young,"['Drums-Kick In-M82.wav', 'Drums-Kick Out-AK47.wav']","['Drums-Snare Bottom-M81.wav', 'Drums-Snare Top-M80.wav']",['Drums-HAT-M60.wav'],['Drums-Ride-M60.wav'],"['Drums-Chamber-M60.wav', 'Drums-Overheads-CU29.wav']","['Drums-Floor Tom-M81.wav', 'Drums-Rack Tom-M80.wav']",['Drums-Room-M81.wav'],[],"['Bass-Amp-AK47.wav', 'Bass-Amp-M82.wav']",[],['ELE Guitar-M80.wav'],[],[],[],[],[],['Tracks-Active DI.wav'],['Vocals-Lead-M80.wav'],[],"['Vocals-BGV1-M81.wav', 'Vocals-BGV2-M81.wav', 'Keys-Active DI.wav', 'Acoustic Guitar-Active DI.wav']",0
Dios Salve El R&R - Cielo Sin Santos,['01_Kick.wav'],['02_Snare.wav'],[],[],['05_Overheads.wav'],"['03_Tom1.wav', '04_Tom2.wav']",[],[],['06_Bass.wav'],[],"['07_ElecGtr1.wav', '08_ElecGtr2.wav']",[],[],[],[],[],[],['09_LeadVox.wav'],['10_BackingVox.wav'],[],0
Direct Experience,"['01_KickIn.wav', '02_KickSample.wav']","['03_SnareUp.wav', '04_SnareSample.wav']",['07_HiHat.wav'],"['17_CymbalSwell1.wav', '18_CymbalSwell2.wav']",['08_Overheads.wav'],"['05_Tom1.wav', '06_Tom2.wav']","['09_DrumsRoomMono1.wav', '10_DrumsRoomMono2.wav', '11_DrumsRoomMono3.wav', '12_DrumsRoomStereo1.wav', '13_DrumsRoomStereo2.wav']","['14_Tambourine1.wav', '15_Tambourine2.wav', '16_Shaker.wav']","['22_Bass1.wav', '23_Bass2DI.wav', '24_Bass2Amp.wav']","['56_AcousticGtr.wav', '55_Ukelele.wav']","['25_ElecGtr01Mic1.wav', '26_ElecGtr01Mic2.wav', '27_ElecGtr01DTMic1.wav', '28_ElecGtr01DTMic2.wav', '29_ElecGtr02Mic1.wav', '30_ElecGtr02Mic2.wav', '31_ElecGtr03Mic1.wav', '32_ElecGtr03Mic2.wav', '33_ElecGtr04Mic1.wav', '34_ElecGtr04Mic2.wav', '35_ElecGtr05Mic1.wav', '36_ElecGtr05Mic2.wav', '37_ElecGtr05DTMic1.wav', '38_ElecGtr05DTMic2.wav', '39_ElecGtr06Mic1.wav', '40_ElecGtr06Mic2.wav', '41_ElecGtr06DTMic1.wav', '42_ElecGtr06DTMic2.wav', '43_ElecGtr07Mic1.wav', '44_ElecGtr07Mic2.wav', '45_ElecGtr08Mic1.wav', '46_ElecGtr08Mic2.wav', '47_ElecGtr08DTMic1.wav', '48_ElecGtr08DTMic2.wav', '49_ElecGtr09Mic1.wav', '50_ElecGtr09Mic2.wav', '51_ElecGtr10Mic1.wav', '52_ElecGtr10Mic2.wav', '53_ElecGtr10DTMic1.wav', '54_ElecGtr10DTMic2.wav']",['58_Piano.wav'],"['57_Keys.wav', '59_Rhodes.wav', '60_Rhodes2.wav', '61_Rhodes3.wav']",['62_FrenchHorn.wav'],"['63_Violin1.wav', '64_Violin2.wav', '65_Viola.wav', '66_Cello.wav', '67_Bass.wav']",[],"['19_SFX1.wav', '20_SFX2.wav', '21_SFX3.wav']",[],"['68_Vox1.wav', '69_Vox2.wav', '70_Vox3.wav', '71_Vox4.wav', '72_Vox5.wav']",[],1
Directions,['01_Kick.wav'],"['02_SnareUp.wav', '03_SnareDown.wav']",['04_HiHat.wav'],[],['05_Overheads.wav'],[],[],"['06_Shaker.wav', '07_Tambourine.wav', '08_Bongos.wav']","['09_Bass_Finger.wav', '10_BassAlternate_Plectrum.wav']","['11_AcGtr01.wav', '12_AcGtr02.wav', '13_AcGtr03.wav', '14_AcGtr04.wav', '15_AcGtr05.wav', '16_AcGtr06.wav']","['17_ElecGtr01.wav', '18_ElecGtr02.wav', '19_ElecGtr03.wav', '20_ElecGtr04.wav']",[],[],[],[],[],[],['21_LeadVox.wav'],"['22_BackingVoxLo01.wav', '23_BackingVoxLo02.wav', '24_BackingVoxLo03.wav', '25_BackingVoxLo04.wav', '26_BackingVoxLo05.wav', '27_BackingVoxHi01.wav', '28_BackingVoxHi02.wav', '29_BackingVoxHi03.wav', '30_BackingVoxHi04.wav', '31_BackingVoxHi05.wav']",[],1
Do Not Stand,[],[],[],[],[],[],[],['01_Loop.wav'],['02_Bass.wav'],[],[],['04_Piano.wav'],"['05_Rhodes1.wav', '06_Rhodes2.wav']",[],[],[],[],['07_LeadVox.wav'],['03_Choir.wav'],[],1
Don't Let Go,[],[],[],['04_Cymbal.wav'],[],[],[],"['01_CongaMic1.wav', '02_CongaMic2.wav', '03_Shakers.wav']","['05_BassDI.wav', '06_BassMic.wav']","['07_AcousticGtr1.wav', '08_AcousticGtr2.wav', '09_AcousticGtr3.wav']",[],['10_Piano.wav'],[],[],[],"['11_Flute1.wav', '12_Flute2.wav']",[],['13_LeadVox.wav'],[],[],1
Don't Let The Devil Take Your Mind,['DRUMS - KICK M82.wav'],['DRUMS - SNARE - M80-SH.wav'],['DRUMS - HI HAT - ELA M 260.wav'],[],"['DRUMS - OVERHEAD LEFT - ELA M 260.wav', 'DRUMS - OVERHEAD RIGHT - ELA M 260.wav']","['DRUMS - FLOOR TOM - M81-SH.wav', 'DRUMS - TOM 1 - M81-SH.wav']","['ROOM AB - 260 LEFT.wav', 'ROOM AB - 260 RIGHT.wav', 'ROOM XY - AR-70 STEREO.wav']",[],"['BASS - M82.wav', 'BASS DI.wav']",[],"['GUITAR AMP 1 - M80.wav', 'GUITAR AMP 2 - M81.wav', 'GUITAR AMP 3 - M81.wav', 'GUITAR AMP 4 - M80.wav']",[],"['KEY LEFT DI.wav', 'KEY RIGHT DI.wav']",[],[],[],"['LESLIE LEFT - M80.wav', 'LESLIE LOW - M81.wav', 'LESLIE RIGHT - M80.wav']",['VOX 1 - M80.wav'],"['VOX 2- M80.wav', 'VOX 3 - M80.wav']","['ACOUSTIC DI 1.wav', 'ACOUSTIC DI 2.wav', 'Jackie Greene - Uptown Theater, Napa, CA 04.07.2015-RUFF MIX.wav']",0
Don't Put Me On Hold,"['Drums-Kick In-M82.wav', 'Drums-Kick Out-CU29.wav']","['Drums-Snare Bottom-M80.wav', 'Drums-Snare Top-M81.wav']",[],[],['Drums-Overhead-ELA M 260.wav'],"['Drums-Floor-M81.wav', 'Drums-Rack Tom-M80.wav']",[],"['Percussion-Conga-M81.wav', 'Percussion-Tim-M81.wav', 'Percussion-Overhead-M60.wav']",['Bass-Active DI.wav'],[],"['ELE Guitar1-M81.wav', 'ELE Guitar2-M80.wav']",['Keys-CP80-Active DI.wav'],"['Keys-Leslie Bottom-M82.wav', 'Keys-Leslie Top-M81.wav']","['Horns-Bone-ELA M 260.wav', 'Horns-Sax-M80.wav', 'Horns-Trumpet-ELA M 260.wav']",[],[],[],['Vocals-Lead-M80.wav'],"['Vocals-BV1-M81.wav', 'Vocals-BV2-M81.wav']",['Drums-Room-M81.wav'],0
Donde No Llega La Luz,['01_Kick.wav'],['02_Snare.wav'],[],[],['05_Overheads.wav'],"['03_Tom1.wav', '04_Tom2.wav']",[],[],['06_Bass.wav'],[],"['08_ElecGtr1a.wav', '09_ElecGtr1b.wav']",[],[],[],[],[],[],['10_LeadVox.wav'],['07_BackingVox.wav'],[],0
Dorothy,[],[],[],['02_Cymbals.wav'],['01_Drums.wav'],[],[],[],"['03_Bass1.wav', '04_Bass2.wav', '05_PizzBass.wav']",[],['06_MIDIGtr.wav'],[],[],[],['11_Strings.wav'],[],"['07_Mellotron.wav', '08_Synth1.wav', '09_Synth2.wav', '10_Synth3.wav', '12_Harp.wav']","['13_LeadVox.wav', '14_LeadVoxDT.wav', '15_LeadVoxKiddie.wav']","['16_BackingVox1.wav', '17_BackingVox2.wav', '18_BackingVox3.wav', '19_BackingVox4.wav']",[],1
Downtempo,"['02_KickLayer1.wav', '03_KickLayer2.wav', '04_KickLayer3.wav']",['05_Snare.wav'],['06_HiHat.wav'],['07_Cymbal.wav'],[],[],[],"['01_MainLoop.wav', '08_Shaker.wav', '09_MetalHit.wav', '10_Timpani.wav']",['11_Bass.wav'],[],[],[],[],[],['13_Strings.wav'],[],"['12_Synth.wav', '15_Harp.wav', '16_SFX01.wav', '17_SFX02.wav', '18_SFX03.wav', '19_SFX04.wav', '20_SFX05.wav', '21_SFX06.wav', '22_SFX07.wav', '23_SFX08.wav', '24_SFX09.wav', '25_SFX10.wav', '26_SFX11.wav']",[],['14_Choir.wav'],[],1
Drag me Down,"['01_Kick1.wav', '02_Kick2.wav', '03_KickSample.wav']","['04_SnareUp.wav', '05_SnareDown.wav', '06_SnareSample1.wav', '07_SnareSample2.wav']","['08_HiHat.wav', '09_HiHatSample.wav']",[],['16_Overheads.wav'],"['10_Tom1.wav', '11_Tom1Sample.wav', '12_Tom2.wav', '13_Tom2Sample.wav', '14_Tom3.wav', '15_Tom3Sample.wav']",['17_DrumsRoom.wav'],[],"['18_BassDI.wav', '19_BassOverdrive.wav', '20_BassFuzz.wav']","['22_AcousticGtr1.wav', '23_AcousticGtr2.wav', '24_AcousticGtr3.wav']","['25_ElecGtr1.wav', '26_ElecGtr2.wav', '27_ElecGtr2DI.wav', '28_ElecGtr2DT.wav', '29_ElecGtr2DTDI.wav', '30_ElecGtr3.wav', '31_ElecGtr3DI.wav', '32_ElecGtr4.wav', '33_ElecGtr4DI.wav', '34_ElecGtr5.wav', '35_ElecGtr5DI.wav']",['40_Piano.wav'],[],[],[],[],"['36_Synth1.wav', '37_Synth2.wav', '38_Synth3.wav', '39_Synth4.wav', '41_SFX1.wav', '42_SFX2.wav', '21_BassSynth.wav']","['43_LeadVox1.wav', '44_LeadVox1Harm.wav', '45_LeadVox2.wav']","['46_BackingVox1.wav', '47_BackingVox1DT.wav', '48_BackingVox2.wav', '49_BackingVox2DT.wav', '50_BackingVox3.wav']",[],1
Drag,['01_Kick.wav'],['02_Snare.wav'],[],[],['03_Overheads.wav'],[],['04_DrumsRoom.wav'],[],['05_Bass.wav'],"['06_AcGtr1Mic1.wav', '07_AcGtr1Mic2.wav']","['08_ElecGtr1Mic1.wav', '09_ElecGtr1Mic2.wav', '10_ElecGtr1DI.wav', '11_ElecGtr2Mic1.wav', '12_ElecGtr2Mic2.wav', '13_ElecGtr3.wav', '14_ElecGtr4Mic1.wav', '15_ElecGtr4Mic2.wav', '16_ElecGtr5Mic1.wav', '17_ElecGtr5Mic2.wav', '18_ElecGtr6Mic1.wav', '19_ElecGtr6Mic2.wav']",[],[],[],[],[],[],"['20_LeadVox.wav', '21_LeadVoxDT.wav']","['22_BackingVox01.wav', '23_BackingVox02.wav', '24_BackingVox03.wav', '25_BackingVox04.wav', '26_BackingVox05.wav', '27_BackingVox06.wav', '28_BackingVox07.wav', '29_BackingVox08.wav']",[],1
Dream No. 12,['01_Kick.wav'],[],[],[],[],[],[],"['02_ShakerMono.wav', '03_ShakerStereo.wav', '04_Clicks.wav', '05_Bongos.wav']",['06_Bass.wav'],"['07_Ukelele1.wav', '08_Ukelele2.wav', '09_Ukelele3.wav']",['10_ElecGtr.wav'],[],[],[],['11_Strings.wav'],[],"['12_Orchestra.wav', '13_Vibes.wav', '14_Mellotron.wav', '15_Synth1.wav', '16_Synth2.wav', '17_Vocoder1.wav', '18_Vocoder2.wav', '23_SFX1.wav', '24_SFX2.wav', '25_SFX3.wav', '26_SFX4.wav', '27_SFX5.wav']",['19_LeadVox.wav'],"['20_BackingVox1.wav', '21_BackingVox2.wav', '22_BackingVox3.wav']",[],1
Dream State (feat. Flora Lin),"['01_Kick1.wav', '02_Kick2.wav']",['03_Snare.wav'],['04_HiHat.wav'],"['05_Cymbal.wav', '06_CymbalFX.wav']",[],[],[],[],['09_Bass.wav'],[],['23_ElecGtrFX.wav'],"['10_Piano1.wav', '11_Piano2.wav']",[],[],"['24_Strings1.wav', '25_Strings2.wav', '26_Strings3.wav']",[],"['07_Chimes1.wav', '08_Chimes2.wav', '12_Synth01.wav', '13_Synth02.wav', '14_Synth03.wav', '15_Synth04.wav', '16_Synth05.wav', '17_Synth06.wav', '18_Synth07.wav', '19_Synth08.wav', '20_Synth09.wav', '21_Synth10.wav', '22_Synth11.wav']","['27_LeadVox1.wav', '28_LeadVox2.wav']","['29_BackingVox1.wav', '30_BackingVox1DT.wav', '31_BackingVox2.wav', '32_BackingVox2DT.wav', '33_BackingVox3.wav', '34_BackingVox3DT.wav', '35_BackingVox4.wav', '36_BackingVox4DT.wav']",[],1
